;wheat_mass;Longitude;Latitude;wheat_mass_categorical
467;8266.9;5.585299897996829;48.77851184035438;8000-9000
468;7905.2;5.585312488505241;48.77851610727346;7000-8000
469;8137.7;5.585325079013653;48.77852072976872;8000-9000
470;8356.7;5.58533784938647;48.77852511521255;8000-9000
471;8034.2;5.585350799623693;48.7785296191815;8000-9000
472;8551.8;5.585363929725322;48.77853364904811;8000-9000
473;8484.5;5.585376879962546;48.77853767891439;8000-9000
474;8499.5;5.5853894704709575;48.77854194583127;8000-9000
475;8162.2;5.585401701250557;48.77854609422234;8000-9000
476;8712.2;5.585414291758968;48.778550361138514;8000-9000
477;8294.4;5.58542688226738;48.77855462805432;8000-9000
478;8593.8;5.585439472775791;48.77855877644434;8000-9000
479;8611.6;5.585451703555391;48.77856339893568;8000-9000
480;8662.7;5.585463934334991;48.77856802142659;8000-9000
481;7944.8;5.585476344978996;48.77857228834089;7000-8000
482;8202.4;5.585488935487408;48.7785767923056;8000-9000
483;8820.9;5.58550152599582;48.77858082216842;8000-9000
484;8902.2;5.585514656097448;48.77858449645482;8000-9000
485;8396.1;5.585527966063483;48.77858781516489;8000-9000
486;7977.4;5.585541096165113;48.77859148945078;7000-8000
487;8414.3;5.58555386653793;48.77859563783777;8000-9000
488;8724.2;5.58556609731753;48.778600141800375;8000-9000
489;8503.0;5.585578687825941;48.77860440871195;8000-9000
490;8188.3;5.585591458198759;48.77860867562316;8000-9000
491;8184.7;5.585604228571577;48.77861270548343;8000-9000
492;8084.5;5.585616998944393;48.77861673534336;8000-9000
493;9017.4;5.585629589452805;48.77862088372824;> 10000
494;8978.2;5.5856420000968106;48.77862515063806;8000-9000
495;8213.7;5.585654410740817;48.77862965459802;8000-9000
496;7947.1;5.585666641520416;48.77863427708283;7000-8000
497;8465.1;5.585679232028828;48.77863854399151;8000-9000
498;8475.1;5.585691642672834;48.77864292942505;8000-9000
499;8173.7;5.585704233181246;48.77864707780777;8000-9000
500;8670.3;5.585716823689657;48.77865122619016;8000-9000
501;8023.4;5.585729594062474;48.77865561162258;8000-9000
502;8324.1;5.585741824842074;48.77865976000425;8000-9000
503;8327.9;5.585754595214891;48.77866367133523;8000-9000
504;8376.7;5.585767545452114;48.77866758266592;8000-9000
