;Région;Occupé;Larg.;Durée;Distance;Humidité;Mass_Yield;Flux_Blé_d;Productivi;Util._carb;Vites.;Direction;Header_Off;Rdmt_masse;Rdmt_humid;Rdmt_sec;Flux;Flux2;Altitude;Datage;Flux3;Flux4;Flux5;Flux6;Flux7;Flux8;Flux9;Flux:;"Flux;";Flux<;Flux=;Flux>;Longitude;Latitude
560;Boulinsard - 23/07/2021;T;9.15;1.0;1.14;13.1;8320.0;8.8;3.6;76.0;4.1;55.4;0.0;8440.3;8440.3;7338.8;31644.0;27514.5;258.6;1627044666.0;;;;;;;;;;;;;5.586481607143454;48.77896247241613
561;Boulinsard - 23/07/2021;T;9.15;1.0;1.13;13.0;8322.0;8.7;3.6;77.6;4.0;55.1;0.0;8398.3;8398.3;7303.1;31320.0;27235.9;258.66;1627044667.0;;;;;;;;;;;;;5.586494197651866;48.778968280114874
562;Boulinsard - 23/07/2021;T;9.15;1.0;1.14;13.0;8397.0;8.7;3.6;79.2;4.1;54.2;0.0;8313.8;8313.8;7233.0;31320.0;27248.4;258.72;1627044668.0;;;;;;;;;;;;;5.5865067881602775;48.77897432486183
563;Boulinsard - 23/07/2021;T;9.15;1.0;1.13;13.0;9505.0;9.8;3.6;79.2;4.0;55.4;0.0;9545.2;9545.2;8309.1;35388.0;30805.3;258.8;1627044669.0;;;;;;;;;;;;;5.5865195585330945;48.77898001403478
564;Boulinsard - 23/07/2021;T;9.15;1.0;1.12;13.0;8870.0;9.2;3.6;81.3;4.0;55.3;0.0;9029.3;9029.3;7857.3;33264.0;28946.3;258.88;1627044670.0;;;;;;;;;;;;;5.5865319691771;48.778985821731496
565;Boulinsard - 23/07/2021;T;9.15;1.0;1.12;13.0;7139.0;7.3;3.6;80.7;4.0;54.3;0.0;7125.4;7125.4;6196.2;26388.0;22947.0;258.97;1627044671.0;;;;;;;;;;;;;5.586544559685512;48.77899162942754
566;Boulinsard - 23/07/2021;T;9.15;1.0;1.12;13.1;9597.0;9.9;3.6;80.3;4.0;55.5;0.0;9678.0;9678.0;8414.0;35568.0;30922.8;259.06;1627044672.0;;;;;;;;;;;;;5.586556970329517;48.77899731859852
567;Boulinsard - 23/07/2021;T;9.15;1.0;1.13;13.1;6816.0;7.0;3.6;77.7;4.1;55.7;0.0;6781.2;6781.2;5894.9;25272.0;21968.9;259.14;1627044673.0;;;;;;;;;;;;;5.586569740702335;48.77900312629325
568;Boulinsard - 23/07/2021;T;9.15;1.0;1.14;13.0;5409.0;5.5;3.6;77.8;4.1;56.3;0.0;5300.2;5300.2;4611.7;19980.0;17384.6;259.22;1627044674.0;;;;;;;;;;;;;5.586582870803964;48.77900881546292
569;Boulinsard - 23/07/2021;T;9.15;1.0;1.19;13.0;5746.0;6.2;3.6;74.0;4.4;56.9;0.0;5654.6;5654.6;4921.7;22176.0;19302.0;259.26;1627044675.0;;;;;;;;;;;;;5.586596360634405;48.77901462315631
570;Boulinsard - 23/07/2021;T;9.15;1.0;1.18;13.0;5277.0;5.8;3.6;74.0;4.3;59.2;0.0;5336.3;5336.3;4644.7;20808.0;18111.3;259.31;1627044676.0;;;;;;;;;;;;;5.5866102101936574;48.779020075276016
571;Boulinsard - 23/07/2021;T;9.15;1.0;1.18;13.0;3803.0;4.1;3.6;74.9;4.3;61.4;0.0;3814.4;3814.4;3319.7;14832.0;12908.3;259.35;1627044677.0;;;;;;;;;;;;;5.586624419481722;48.77902517182216
572;Boulinsard - 23/07/2021;T;9.15;1.0;1.19;12.9;3803.0;2.1;3.6;76.8;4.3;58.9;0.0;1913.2;1913.2;1667.0;7488.0;6524.3;259.42;1627044678.0;;;;;;;;;;;;;5.586638269040975;48.77903062394073
573;Boulinsard - 23/07/2021;T;9.15;1.0;1.17;12.8;1490.0;1.6;3.6;74.2;4.2;58.7;0.0;1524.8;1524.8;1329.3;5868.0;5115.7;259.49;1627044679.0;;;;;;;;;;;;;5.586651938735822;48.779036076058695
